"source_id","lat_dec","long_dec"
"567378","44.5723","-67.3103"
"561108","43.2232","-70.6919"
"614959","41.9834","-70.6245"
"582265","43.4168","-68.6661"
"582264","43.0168","-70.1662"
"1802774","42.3001","-70.2995"
"617045","41.6668","-67.7494"
"600157","41.1918","-70.7939"
"617038","41.3431","-66.1433"
"578209","44.8131","-66.9628"
"574681","44.8123","-66.9472"
"578703","44.8223","-66.9664"
"578893","44.8301","-66.9661"
"570562","44.8423","-66.9750"
"570561","44.8606","-66.9841"
"571832","44.8556","-66.9805"
"568908","44.8615","-67.0016"
"573631","44.8681","-66.9839"
"581412","44.8723","-66.9911"
"577295","44.8798","-66.9903"
"567388","44.8770","-66.9958"
"565942","44.8940","-66.9986"
"562997","44.8987","-67.0080"
"571599","44.9170","-67.0066"
"575270","44.9001","-67.0164"
"564956","44.9065","-67.0203"
"566589","44.9040","-66.9722"
"565748","44.9062","-66.9900"
"564038","44.9156","-66.9855"
"565168","44.9184","-66.9897"
"578265","44.9459","-67.0175"
"563562","44.9431","-67.0394"
"573501","44.9573","-67.0422"
"566619","44.9648","-67.0447"
"566620","44.9667","-67.0397"
"566835","44.9687","-67.0603"
"575032","44.8965","-67.1222"
"576004","44.9206","-67.0408"
"573046","45.0234","-67.0672"
"565076","45.1534","-67.1625"
"574293","45.0781","-67.1094"
"574077","45.1204","-67.1467"
"564130","44.9095","-67.0555"
"575257","44.8879","-67.0405"
"561568","44.9304","-67.0511"
"573163","44.9167","-67.1116"
"565049","44.8876","-67.1592"
"578399","44.7909","-67.1755"
"578400","44.8476","-67.1453"
"572754","44.7923","-67.1714"
"581632","44.6537","-67.1486"
"581739","44.5334","-67.1808"
"581985","44.5015","-67.1036"
"581914","44.4909","-67.0783"
"581841","44.5376","-67.0869"
"581842","44.5290","-67.1103"
"581912","44.4806","-67.4561"
"577804","44.5517","-67.5192"
"563620","44.8067","-66.9780"
"577802","44.7998","-66.9875"
"567528","44.7881","-67.0053"
"571713","44.7904","-66.9886"
"562751","44.7731","-67.0239"
"581387","44.7670","-67.0578"
"575913","44.7692","-67.0741"
"568848","44.7620","-67.0497"
"567810","44.7529","-67.0691"
"576905","44.7559","-67.0867"
"574879","44.7495","-67.0747"
"571587","44.7373","-67.0967"
"565720","44.7428","-67.0794"
"576908","44.7589","-67.1080"
"565721","44.7373","-67.0875"
"571634","44.7384","-67.1144"
"562680","44.7112","-67.1155"
"568206","44.6929","-67.1367"
"562491","44.6787","-67.1492"
"570270","44.6706","-67.1561"
"561214","44.6623","-67.1858"
"571494","44.6592","-67.1889"
"570264","44.6687","-67.1547"
"570000","44.6537","-67.2050"
"570019","44.6509","-67.1933"
"565723","44.6573","-67.1953"
"570022","44.6545","-67.1936"
"564710","44.6576","-67.2039"
"568357","44.6415","-67.2047"
"578252","44.6448","-67.1917"
"567148","44.6398","-67.2100"
"572474","44.6134","-67.3153"
"575098","44.6004","-67.3208"
"570614","44.6359","-67.3439"
"569534","44.5767","-67.3575"
"581386","44.6542","-67.3442"
"567175","44.6467","-67.2961"
"574004","44.5745","-67.3944"
"566455","44.5867","-67.3953"
"566451","44.5809","-67.3989"
"576269","44.5865","-67.3825"
"576382","44.5976","-67.3714"
"576384","44.5973","-67.3658"
"576267","44.6004","-67.3878"
"576268","44.6009","-67.3958"
"576265","44.6090","-67.3922"
"576264","44.6109","-67.3967"
"581440","44.6234","-67.3855"
"1802600","44.6273","-67.3675"
"568390","44.6209","-67.3775"
"575134","44.6187","-67.3653"
"563124","44.6395","-67.3733"
"561583","44.6409","-67.3655"
"563126","44.6348","-67.3625"
"563125","44.6420","-67.3883"
"563129","44.6417","-67.3769"
"564168","44.6315","-67.3497"
"578750","44.6431","-67.3533"
"563814","44.6501","-67.3322"
"561596","44.6495","-67.3592"
"574790","44.6662","-67.3611"
"574473","44.6679","-67.3444"
"568163","44.6806","-67.3358"
"569389","44.6665","-67.3730"
"568570","44.6581","-67.3736"
"569388","44.6681","-67.3928"
"568201","44.6854","-67.3222"
"570618","44.6842","-67.3903"
"570620","44.6987","-67.3947"
"565635","44.7117","-67.3894"
"570613","44.7151","-67.4614"
"571264","44.7201","-67.4500"
"574455","44.5854","-67.5128"
"565922","44.5901","-67.4686"
"574981","44.5723","-67.4064"
"574980","44.5670","-67.4097"
"564146","44.5859","-67.4367"
"575282","44.5879","-67.4155"
"573324","44.5945","-67.4125"
"573556","44.5976","-67.4080"
"567993","44.5970","-67.4278"
"569862","44.6267","-67.4330"
"575078","44.6126","-67.4303"
"576771","44.5570","-67.4364"
"567225","44.5623","-67.4439"
"563025","44.5584","-67.4428"
"573881","44.5537","-67.4669"
"569021","44.5429","-67.4619"
"571453","44.5329","-67.4589"
"567494","44.5729","-67.4586"
"561264","44.5676","-67.4719"
"565225","44.5626","-67.4808"
"567183","44.5606","-67.5019"
"570076","44.5559","-67.5180"
"575286","44.5617","-67.4730"
"574456","44.5751","-67.5094"
"569319","44.5776","-67.4897"
"561582","44.5798","-67.4844"
"570814","44.5851","-67.4903"
"575115","44.5770","-67.5033"
"569318","44.5790","-67.4939"
"577037","44.5631","-67.5161"
"563178","44.5584","-67.5161"
"575426","44.6020","-67.4892"
"562783","44.5942","-67.5044"
"575427","44.6123","-67.4933"
"574454","44.6129","-67.4797"
"565923","44.6084","-67.4780"
"581490","44.5892","-67.5242"
"576197","44.5848","-67.5378"
"567132","44.6276","-67.5078"
"573595","44.6204","-67.5039"
"569997","44.6137","-67.5219"
"569380","44.6165","-67.5205"
"563836","44.6148","-67.5422"
"568974","44.6626","-67.5725"
"569167","44.6456","-67.5478"
"564966","44.6417","-67.5422"
"581456","44.6195","-67.5714"
"570873","44.6123","-67.5733"
"581398","44.5620","-67.5428"
"562139","44.5056","-67.5094"
"569709","44.5112","-67.5050"
"578857","44.5395","-67.4867"
"566144","44.5281","-67.5053"
"567184","44.5517","-67.5044"
"561551","44.5606","-67.5519"
"561552","44.5620","-67.5547"
"574457","44.5851","-67.5436"
"567118","44.5984","-67.5503"
"571572","44.5245","-67.6050"
"570782","44.5307","-67.5358"
"569068","44.5320","-67.5647"
"572527","44.5279","-67.5642"
"566786","44.5315","-67.5470"
"575693","44.5273","-67.5722"
"568976","44.5329","-67.5983"
"574962","44.5337","-67.5900"
"561768","44.5198","-67.6150"
"561771","44.5137","-67.5492"
"573583","44.5137","-67.6464"
"567849","44.4920","-67.5239"
"567851","44.5079","-67.5342"
"581495","44.4865","-67.5342"
"570692","44.4881","-67.5194"
"562437","44.4940","-67.5157"
"571460","44.4851","-67.5530"
"570668","44.4801","-67.5378"
"571461","44.4748","-67.5350"
"569245","44.4792","-67.5397"
"1909276","44.4742","-67.5317"
"567222","44.4809","-67.5525"
"565709","44.4931","-67.5667"
"571866","44.4715","-67.5478"
"562460","44.4670","-67.5472"
"569726","44.4731","-67.5653"
"563843","44.4662","-67.5419"
"581423","44.4631","-67.5472"
"567185","44.4815","-67.5897"
"562433","44.4792","-67.5997"
"573609","44.4481","-67.5867"
"574828","44.4867","-67.5794"
"571865","44.4854","-67.5864"
"574086","44.4514","-67.5811"
"564627","44.4431","-67.5989"
"566237","44.4479","-67.6105"
"563067","44.4620","-67.6192"
"565812","44.4345","-67.6305"
"564672","44.4409","-67.6061"
"567260","44.4392","-67.6094"
"575120","44.4381","-67.6161"
"578927","44.4467","-67.6344"
"575082","44.4317","-67.6378"
"572867","44.4620","-67.6708"
"576243","44.4567","-67.6680"
"561724","44.4720","-67.6639"
"574003","44.4917","-67.7050"
"565718","44.5070","-67.7253"
"571611","44.5062","-67.7128"
"565732","44.4962","-67.7342"
"572816","44.5042","-67.7244"
"575746","44.5134","-67.7167"
"573470","44.5095","-67.7678"
"581465","44.4640","-67.7458"
"562215","44.4670","-67.7375"
"561683","44.5245","-67.7672"
"562317","44.5345","-67.7661"
"573705","44.4798","-67.7511"
"582253","44.4776","-67.7872"
"564222","44.4792","-67.7750"
"566311","44.4815","-67.7944"
"565469","44.4987","-67.8078"
"581468","44.4984","-67.7542"
"581469","44.4948","-67.7631"
"561744","44.5087","-67.7817"
"578499","44.5215","-67.7839"
"572170","44.5179","-67.7583"
"563185","44.5304","-67.7744"
"574048","44.5409","-67.7664"
"571430","44.5381","-67.7686"
"566412","44.5498","-67.7658"
"573516","44.5473","-67.7647"
"570347","44.5670","-67.7611"
"561093","44.6184","-67.7442"
"564252","44.6537","-67.7275"
"567676","44.5329","-67.8183"
"574226","44.5287","-67.7914"
"566454","44.5273","-67.8317"
"576448","44.5162","-67.8042"
"576449","44.5123","-67.7986"
"572822","44.5104","-67.8056"
"576450","44.5129","-67.8044"
"565470","44.5137","-67.8228"
"563808","44.5592","-67.8100"
"566282","44.5715","-67.8217"
"571351","44.5609","-67.8111"
"567682","44.5387","-67.8111"
"567675","44.6192","-67.8103"
"572056","44.5951","-67.7889"
"572041","44.5029","-67.8369"
"562707","44.4395","-67.8681"
"568807","44.4198","-67.8500"
"569000","44.4359","-67.8125"
"562458","44.4395","-67.8100"
"570632","44.4487","-67.8036"
"568999","44.4437","-67.8228"
"573602","44.4573","-67.8353"
"565244","44.4501","-67.8497"
"565242","44.4579","-67.8522"
"565243","44.4540","-67.8539"
"564673","44.4595","-67.8633"
"575417","44.4737","-67.8011"
"577190","44.4840","-67.8147"
"580872","44.4779","-67.8131"
"577267","44.4848","-67.8281"
"577268","44.4887","-67.8328"
"577266","44.4945","-67.8381"
"581814","44.4976","-67.8467"
"576419","44.4954","-67.8542"
"575622","44.5001","-67.8544"
"578721","44.5079","-67.8592"
"571474","44.5092","-67.8553"
"572043","44.5215","-67.8531"
"571277","44.5354","-67.8808"
"573335","44.4295","-67.8842"
"563961","44.4551","-67.8781"
"573331","44.4442","-67.8875"
"578287","44.3981","-67.8656"
"565811","44.4067","-67.8686"
"573236","44.3673","-67.8653"
"573239","44.3642","-67.8636"
"581858","44.3840","-67.8828"
"573237","44.3945","-67.8994"
"568640","44.3923","-67.8928"
"567232","44.3734","-67.8731"
"581902","44.3404","-67.8522"
"581913","44.3323","-67.8106"
"581789","44.3715","-67.8042"
"577091","44.3856","-67.7850"
"568854","44.3951","-67.8328"
"579991","44.3490","-68.3442"
